,Model,Property,Power,Price
94,Bestune B70S 2023,Automatic,"1500 CC
Turbo","25,500"
95,MG MG 4 2023,Automatic / EV LUX,0 CC,"25,500"
96,Kia Seltos 2023,Automatic / MPI,1600 CC,"25,500"
97,GAC GS5 2022,Automatic / Full option,"1500 CC
Turbo","25,900"
98,Nissan Kicks 2022,Automatic / SL,1600 CC,"25,900"
99,Mazda CX 30 2024,Automatic / Mild-HYBRID,2000 CC,"25,900"
100,Mazda CX 30 2024,Automatic / Mild-HYBRID,2000 CC,"25,900"
101,Toyota C-HR 2022,Automatic,1800 CC,"25,900"
102,GAC GS5 2022,Automatic / Full option,"1500 CC
Turbo","25,900"
103,Nissan Kicks 2022,Automatic / SL,1600 CC,"25,900"
104,Mitsubishi Outlander 2022,Automatic / Low,2400 CC,"25,950"
105,Chevrolet Captiva 2024,Automatic,"1500 CC
Turbo","25,950"
106,Dongfeng T5 Evo 2023,Automatic / SPORT,"1500 CC
Turbo","26,000"
107,Bestune B70 2023,Automatic,"1500 CC
Turbo","26,500"
108,MG Rx5 2023,Automatic / STD Plus,"1500 CC
Turbo","26,500"
109,Peugeot E-2008 2023,Automatic / Active,0 CC,"26,500"
110,Chevrolet Captiva 2023,Automatic / LT,"1500 CC
Turbo","26,500"
111,MG One 2023,Automatic / Comfort,"1500 CC
Turbo","26,500"
112,Toyota Corolla Cross 2022,Automatic,1800 CC,"26,750"
113,Dongfeng AX7 Mach 2023,Automatic / PLUS,"1500 CC
Turbo","26,800"
114,MG ZS EV 2023,Automatic,1500 CC,"26,900"
115,Chevrolet Bolt 2019,Automatic / LT,0 CC,"26,900"
116,Kia Sportage 2023,Automatic,1600 CC,"27,000"
117,Peugeot 508 2019,Automatic / GT Line,1600 CC,"27,200"
118,Renault Duster 2021,Automatic / Full Option,2000 CC,"27,500"
119,Haval Ora 2023,Automatic,0 CC,"27,500"
120,Hyundai Kona 2023,Automatic,0 CC,"27,500"
121,Geely Azkarra 2022,Automatic,"1500 CC
Turbo","27,900"
122,Mazda CX 30 2021,Automatic,2000 CC,"27,900"
123,Toyota C-HR 2022,Automatic / GX Hybrid,1800 CC,"27,900"
124,Bestune T77 Pro 2022,Automatic / Premium,"1500 CC
Turbo","27,900"
125,MG Rx5 2023,Automatic / COM Plus,"1500 CC
Turbo","28,500"
126,Dongfeng T5 HEV 2024,Automatic,1500 CC,"28,500"
127,Chevrolet Captiva 2023,Automatic / premier,"1500 CC
Turbo","28,500"
128,Peugeot E-2008 2023,Automatic / Allure,0 CC,"28,500"
129,Toyota Corolla Cross 2022,Automatic,1800 CC,"28,500"
130,MG HS 2022,Automatic / COM,"2000 CC
Turbo","28,500"
131,Dongfeng Huge 2024,Automatic,"1500 CC
Turbo","28,750"
132,Mazda 6 2020,Automatic / Basic,2000 CC,"29,000"
133,Dongfeng M4 U-Tour 2023,Automatic,"1500 CC
Turbo","29,000"
134,Peugeot 3008 2019,Automatic / Allure,1600 CC,"29,000"
135,MG One 2023,Automatic / Deluxe,"1500 CC
Turbo","29,000"
136,Hyundai Tucson GDI 2020,Automatic / Full Option,2000 CC,"29,500"
137,Ford Fusion 2019,Automatic / SE,2500 CC,"29,500"
138,Opel Grandland 2021,Automatic,"1600 CC
Turbo","29,900"
139,Geely Okavango 2022,Automatic / Mild-HYBRID,"1500 CC
Turbo","29,900"
140,Baic X7 2023,Automatic,"1500 CC
Turbo","29,900"
141,Ford Escape 2020,Automatic,2000 CC,"29,900"
142,Mitsubishi Outlander 2022,Automatic / Mid,2400 CC,"29,950"
143,Renault Koleos 2021,Automatic / GM2,2500 CC,"29,999"
144,Changan CS75 2022,Automatic / plus,"2000 CC
Turbo","29,999"
145,Mitsubishi L 200 2023,Automatic / Sportero,"2400 CC
Turbo","30,000"
146,Hyundai Sonata 2022,Automatic,2500 CC,"30,000"
147,Toyota Camry 2022,Automatic,2500 CC,"30,000"
148,Peugeot E-2008 2023,Automatic / GT,0 CC,"30,400"
149,MG Rx5 2023,Automatic / DEL Plus,"1500 CC
Turbo","30,500"
150,Mazda CX 5 2024,Automatic,2500 CC,"30,900"
151,Kia Niro 2023,Automatic,1600 CC,"31,000"
152,Changan UNI-T 2023,Automatic /,"1500 CC
Turbo","31,500"
153,Honda Accord 2021,Automatic / LX,1500 CC,"31,900"
154,Mitsubishi Eclipse Cross 2020,Automatic,"1500 CC
Turbo","31,950"
155,Mitsubishi Outlander 2022,Automatic / High,2400 CC,"31,950"
156,Kia K5 2023,Automatic,2500 CC,"32,000"
157,Kia Sportage 2023,Automatic,1600 CC,"32,500"
158,MG HS 2022,Automatic / LUX,"2000 CC
Turbo","33,000"
159,Audi A3 2019,Automatic / TFSI,1000 CC,"33,728"
160,Changan CS75 Plus 2023,Automatic /,"2000 CC
Turbo","33,900"
161,Changan CS 85 2022,Automatic / COPE,"2000 CC
Turbo","34,000"
162,MG RX8 2022,Automatic / STD AWD,"2000 CC
Turbo","34,000"
163,Peugeot 5008 2019,Automatic / Allure,1600 CC,"34,000"
164,Honda Accord 2021,Automatic / EX-L,1500 CC,"34,900"
165,Nissan Xterra 2022,Automatic / SE 2WD,2500 CC,"34,900"
166,GAC GS8 2023,Automatic / GL,"2000 CC
Turbo","34,900"
167,Nissan XTrail 2023,Automatic / S,2500 CC,"34,900"
168,Hyundai Tucson 2023,Automatic / Hybrid,"1600 CC
Turbo","35,500"
169,Volkswagen Tiguan 2023,Automatic,1400 CC,"35,700"
170,Changan CS 85 2022,Automatic / GDI sport,"2000 CC
Turbo","35,999"
171,Haval Dargo 2022,Automatic / Adventure 4WD,"2000 CC
Turbo","36,000"
172,Toyota Camry 2022,Automatic,2500 CC,"36,750"
173,Chevrolet Bolt 2023,Automatic / Electric,0 CC,"36,900"
174,MG RX8 2022,Automatic / COM,"2000 CC
Turbo","37,000"
175,Honda CRV 2022,Automatic / MID,2000 CC,"37,500"
176,Kia Optima 2022,Automatic / hybrid 2,2000 CC,"37,500"
177,Baic BJ40 2022,Automatic / S off-Road,"2300 CC
Turbo","37,900"
178,Bestune T99 2023,Automatic,"2000 CC
Turbo","37,900"
179,Volvo XC 40 2021,Automatic / T5 FWD Momentum,"2000 CC
Turbo","38,000"
180,Toyota Camry 2022,Automatic,2500 CC,"38,900"
181,Porsche Macan 2023,Automatic / Base,2000 CC,"39,000"
182,Lexus UX 2020,Automatic,2000 CC,"39,000"
183,Changan CS 95 2022,Automatic,2000 CC,"39,000"
184,Haval H9 2022,Automatic / Dignity,2000 CC,"39,800"
185,Baic BJ40 Plus 2023,Automatic,"2300 CC
Turbo","39,900"
186,Honda CRV 2022,Automatic / TOP,2000 CC,"39,900"
187,Nissan Xterra 2022,Automatic / Titanium 2WD,2500 CC,"39,900"
188,Jeep Gladiator 2023,Automatic / Sport,3600 CC,"39,900"
189,Hyundai Santa Fe 2023,Automatic,2500 CC,"40,000"
190,Nissan Pathfinder 2020,Automatic / S 4wd,2500 CC,"40,950"
191,MG RX8 2022,Automatic / LUX,"2000 CC
Turbo","41,000"
192,Porsche Macan 2023,Automatic / T,2000 CC,"41,000"
193,Mazda CX-9 2024,Automatic,2500 CC,"41,900"
194,Toyota Highlander 2022,Automatic / LE HEV,2500 CC,"42,000"
195,Mitsubishi Pajero 2022,Automatic,3800 CC,"42,950"
196,Porsche Macan 2023,Automatic / S,3000 CC,"43,000"
197,Ford Edge 2021,Automatic,2000 CC,"43,000"
198,MG RX8 2022,Automatic / Black,"2000 CC
Turbo","43,500"
199,Lexus Es 2021,Automatic / AWD,2500 CC,"44,225"
200,Toyota Highlander 2022,Automatic / GLE HEV 4X4,2500 CC,"44,500"
201,Mazda CX-9 2021,Automatic / GS,"2500 CC
Turbo","45,000"
202,Infiniti Q50 2019,Automatic / RED SPORT,3000 CC,"45,000"
203,Infiniti QX50 2020,Automatic,2000 CC,"45,000"
204,Kia Sorento 2023,Automatic / Hybrid,1600 CC,"45,000"
205,Mercedes C 200 2019,Automatic / Hybrid,1500 CC,"45,000"
206,Mitsubishi Montero 2023,Automatic,3000 CC,"45,000"
207,Porsche 718 2023,Automatic / Cayman,2000 CC,"45,000"
208,Byd Tang 2022,Automatic / Comfort,"2000 CC
Turbo","45,000"
209,Volvo XC60 2019,Automatic,"2000 CC
Turbo","45,900"
210,Audi A4 2021,Automatic / TFSI Basic,"1400 CC
Turbo","46,000"
211,Alfa Romeo Giulia 2022,Automatic / Veloce,2000 CC,"46,899"
212,Hyundai Santa Fe 2023,Automatic / Premium,3500 CC,"47,000"
213,Kia Telluride 2021,Automatic / Full Option,3800 CC,"47,400"
214,Gmc Terrain 2023,Automatic,"1500 CC
Turbo","47,500"
215,Gmc Acadia 2023,Automatic / SLE,3600 CC,"47,900"
216,Porsche 718 2023,Automatic / Boxster,2000 CC,"48,000"
217,Volkswagen Teramont 2023,Automatic / Trendline AWD,"2000 CC
Turbo","48,900"
218,Mazda CX-9 2021,Automatic / GT,"2500 CC
Turbo","49,000"
219,Toyota Corona 2023,Automatic,"2400 CC
Turbo","49,500"
220,Volvo S90 2020,Automatic / T8 Plug-in Hybrid AWD,"2000 CC
Turbo","49,900"
221,Tank 300 2023,Automatic,2000 CC,"50,000"
222,Porsche 718 2023,Automatic / Cayman S,2500 CC,"50,000"
223,Porsche 718 2023,Automatic / Cayman Style Edition,2000 CC,"50,000"
224,Subaru WRX 2022,Automatic / Premium,2000 CC,"50,000"
225,Ford Expedition 2019,Automatic / XT,3500 CC,"51,000"
226,Porsche Macan 2023,Automatic / GTS,2900 CC,"51,000"
227,Lexus NX 2020,Automatic,2000 CC,"51,000"
228,Porsche 718 2023,manual / Boxster Style Edition,2000 CC,"52,000"
229,Porsche 718 2023,Automatic / Boxster S,2500 CC,"52,000"
230,Toyota Highlander 2022,Automatic / LTD HEV 4X4,2500 CC,"52,900"
231,Chevrolet Traverse 2023,Automatic / LS AWD,3600 CC,"53,500"
232,Jeep Gladiator 2023,Automatic / Overland,3600 CC,"54,000"
233,Kia EV6 2023,Automatic,0 CC,"55,000"
234,Dodge Challenger 2020,Automatic / GT,3600 CC,"55,000"
235,Infiniti QX55 2022,Automatic / LUXE,"2000 CC
Turbo","55,000"
236,Volvo XC90 2019,Automatic / T5,"2000 CC
Turbo","55,000"
237,Audi Q5 2019,Automatic / TFSI Basic,2000 CC,"55,284"
238,Audi A5 2019,Automatic / TFSI quattro Design,2000 CC,"56,000"
239,Audi A5 2023,Automatic / Sportback,2000 CC,"56,000"
240,Lexus GX 2021,Automatic / PREMIUM,4600 CC,"56,135"
241,Cadillac XT4 2023,Automatic,"2000 CC
Turbo","57,000"
242,Jaguar E-pace 2022,Automatic / S 200 PS,"2000 CC
Turbo","57,910"
243,Land Rover Range Rover Evoque 2022,Automatic / PS AWD,"2000 CC
Turbo","57,960"
244,Jaguar XE 2021,Automatic / S 250 PS,"2000 CC
Turbo","58,530"
245,Lexus Gs 2020,Automatic / SPORT,3500 CC,"58,646"
246,Porsche 718 2023,manual / Cayman GTS,4000 CC,"59,000"
247,BMW 330 2022,Automatic,2000 CC,"59,000"
248,Porsche Cayenne 2023,Automatic / Base,3000 CC,"59,000"
249,Gmc Acadia 2023,Automatic / AT4,3600 CC,"59,900"
250,BMW X3 2021,Automatic / Hybrid,2000 CC,"60,000"
251,BMW 5 Series 2000,Automatic / 530i M Sport,4 CC,"60,000"
252,Jeep Grand Cherokee 2023,Automatic / Altitude,3600 CC,"60,000"
253,BMW 5 Series 2023,Automatic / 530i M Sport,2000 CC,"60,000"
